Label,Centroid_X,Centroid_Y,Theta,Percent_Filled,BoundingBox_Ratio
sunglass,633.154,5.64,0.7512,15441.2,1
sunglass,300.795,360.351,0.172729,18943.8,0.366817
sunglass,508.606,377.704,-0.0954305,17556.5,2.65853
sunglass,419.015,225.389,-0.671804,18679.8,1.3565
sunglass,512.528,136.15,-0.618989,18819.1,1.29872
sunglass,391.327,276.715,-0.829991,17829.1,2.75154
sunglass,34.8295,28.651,-0.604682,12665.3,1.20455
sunglass,403.714,391.754,-0.176063,18908.6,2.5995
sunglass,27.5396,5.95013,-0.0650942,20452.3,4.33333
sunglass,112.444,2.40994,-0.0481054,18328.1,9.14286
sunglass,394.628,440.674,-0.0400354,18920.8,2.43658
sunglass,284.06,357.365,1.18822,19301.5,0.715878
sunglass,246.542,261.118,1.34456,17904.1,0.634971
sunglass,630.371,20.8356,1.32937,13857.3,0.419355
sunglass,300.116,239.64,-0.986667,16959.4,2.93672
sunglass,224.581,292.073,0.0310637,17575,0.358176
sunglass,159.057,253.579,0.402024,15822.4,0.32071
smartphone,253.026,139.08,-0.031504,24602.9,2.08402
smartphone,253.013,140.571,-0.0318222,24618.8,2.04444
smartphone,252.638,140.175,-0.0314661,24589,2.04803
smartphone,301.157,171.555,0.0036558,24785.8,2.03286
smartphone,300.354,173.312,0.00105341,24857.1,2.02885
smartphone,299.911,171.875,0.00216035,24907.7,2.02381
smartphone,300.381,173.109,0.00186437,24902.7,2.03365
smartphone,230.475,139.877,0.419128,22859.9,0.498422
smartphone,231.978,139.975,0.405501,21384.9,0.489297
smartphone,230.64,137.864,0.408396,22142.5,0.492396
smartphone,230.533,137.385,0.412387,22886.8,0.494751
smartphone,230.825,137.88,0.416189,23138.7,0.497379
smartphone,235.312,135.402,0.385287,21085.3,0.482379
smartphone,400.021,164.766,1.38781,23506.1,0.6
smartphone,385.222,168.229,1.49132,23585.1,0.678112
smartphone,398.066,333.022,1.52004,24749.6,0.746918
smartphone,373.315,200.816,1.48721,23996.5,0.485878
smartphone,375.972,201.524,1.49882,24001,0.495597
smartphone,371.211,194.279,1.50549,24070.1,0.500023
smartphone,370.63,190.109,1.50628,24094.8,0.499633
smartphone,368.994,188.92,1.50548,24077.3,0.501181
smartphone,373.743,181.593,1.49638,23968.4,0.49273
smartphone,348.444,132.01,0.893313,22089.2,0.490122
smartphone,323.716,144.565,0.871688,24074.9,0.483722
smartphone,290.207,118.874,0.00899143,24784.9,2.1223
smartphone,334.229,155.357,-0.0494869,24767.8,2.09501
smartphone,275.546,136.943,-0.204755,24740.2,2.06718
smartphone,239.583,230.439,-0.682125,24802.5,2.10426
smartphone,283.554,313.483,-1.20444,24762.6,2.09706
smartphone,288.248,231.758,-1.2906,24599.4,2.08376
smartphone,341.755,206.686,1.5241,24909.7,0.466164
smartphone,310.778,177.976,1.53722,24914.9,0.468043
smartphone,359.87,280.776,1.34075,24672.9,0.466818
smartphone,385.028,368.886,0.537275,24187.2,0.470451
smartphone,321.496,283.346,0.758858,24118.2,0.471678
smartphone,220.384,141.626,0.845607,23545.3,0.477647
smartphone,231.872,204.771,0.771812,24834.1,0.471429
smartphone,234.213,280.084,0.697903,25014.6,0.471726
smartphone,603.025,27.572,0.541557,13265.4,1.31707
smartphone,248.614,300.512,0.594504,24995.2,0.471172
smartphone,584.74,33.0391,0.387239,13008.1,1.62
smartphone,294.767,269.011,0.160589,24960.8,0.46949
smartphone,344.857,157.802,-0.245524,24954.4,2.12769
smartphone,389.708,118.095,-0.52551,22942.5,2.12766
smartphone,339.928,111.176,-0.567203,22204.7,2.11931
smartphone,346.151,109.015,-0.873251,21167.9,2.09261
smartphone,295.845,136.16,-1.21833,22859.6,2.0626
smartphone,280.065,144.338,-1.32788,23483.9,2.0659
smartphone,375.338,162.268,-1.29453,23207.8,2.13232
smartphone,278.579,133.461,-1.34565,23282.2,1.62908
smartphone,251.514,102.894,-1.45603,23810.6,1.32256
smartphone,198.75,151.42,-1.56553,24857.1,0.540453
smartphone,286.534,146.845,-1.49193,24517.4,2.18973
smartphone,318.657,143.888,-1.43092,23914.2,2.15162
smartphone,339.377,180.985,-1.42446,24673.5,2.14175
smartphone,315.072,187.864,-1.4455,24648.4,2.13747
smartphone,357.148,190.726,-0.524382,24699.5,2.16593
smartphone,229.814,115.823,0.576168,24479.4,0.47807
smartphone,286.127,100.244,-1.44185,23768.7,1.47416
smartphone,403.493,266.405,-0.716957,24489.8,2.04036
smartphone,389.015,283.628,-0.754611,24447,2.01954
smartphone,369.78,301.91,-0.82842,24621.1,2.03112
smartphone,377.011,230.024,0.149506,24527.7,0.489143
smartphone,327.131,296.135,1.07178,23886,0.518028
smartphone,400.463,262.963,1.40162,23923.6,0.522439
smartphone,275.085,322.651,0.0380923,24481.9,0.485335
smartphone,279.614,320.425,0.0443393,24385.9,0.485482
smartphone,279.452,318.718,0.0444118,24155,0.483489
smartphone,298.013,69.3476,0.0248449,23137.4,0.30099
smartphone,388.851,177.028,0.0267515,23938.5,1.69637
smartphone,381.618,360.137,-0.0101764,24086.5,2.20082
smartphone,381.535,254.598,-0.0939139,24028.2,2.35305
smartphone,380.31,256.871,-0.115108,22512.9,2.15987
smartphone,285.916,255.449,-0.777058,23987.1,2.13823
smartphone,287.124,297.937,-1.43108,24265.9,2.14241
smartphone,268.296,264.221,-1.53637,24148.4,2.09109
smartphone,400.95,315.539,-1.18721,24098.6,2.09025
smartphone,356.054,239.075,1.43776,23922.5,0.50527
smartphone,354.093,238.412,1.43482,23738.3,0.51101
smartphone,353.395,247.474,1.43097,23572.6,0.523065
smartphone,353.46,247.856,1.43125,23506.6,0.522427
smartphone,359.078,246.807,1.42714,23515.7,0.52153
huskytoy,280.174,224.591,-0.502131,10307.7,1.48661
huskytoy,278.167,231.319,-0.695927,10559.8,1.08155
huskytoy,203.319,302.19,0.557104,20743.3,0.673913
huskytoy,277.457,220.872,-0.672569,10668.2,1.09729
huskytoy,278.246,231.164,-0.685346,10519.3,1.08222
huskytoy,203.519,301.75,0.236656,21179.9,0.850746
huskytoy,278.649,233.181,-0.689684,10518.5,1.03553
huskytoy,204.602,302.381,0.638074,22271.4,0.853448
huskytoy,278.804,234.655,-0.687605,10520.1,1.09027
